Name,BN_Rank,CN_Rank,Impact_Rank
Symbionica Health Inc.,0.0,0.0,0.0
Symbionica Health Inc.,0.0,0.0,0.0
Adobe,89.0,12.0,3.0
Adobe,89.0,12.0,3.0
Afterpay,0.0,60.0,0.0
Afterpay,0.0,60.0,0.0
Afterpay,0.0,60.0,0.0
Afterpay,0.0,60.0,0.0
Airbnb,0.0,0.0,0.0
Airbnb,0.0,0.0,0.0
Airbnb,0.0,0.0,0.0
Airbnb,0.0,0.0,0.0
American Express,0.0,82.0,0.0
American Express,0.0,82.0,0.0
American Express,0.0,82.0,0.0
American Express,0.0,82.0,0.0
AirBnB,0.0,0.0,0.0
AirBnB,0.0,0.0,0.0
AirBnB,0.0,0.0,0.0
AirBnB,0.0,0.0,0.0
AirBnB,0.0,0.0,0.0
ALDI,0.0,0.0,4.0
ALDI,0.0,0.0,4.0
ALDI,0.0,0.0,4.0
ALDI,0.0,0.0,4.0
ALDI,0.0,0.0,4.0
